instruct,answer,Conditions,Offers
Recommend a budget laptop for students,"Name: Lenovo IdeaPad 3, Category: Student Laptop, Price: 48,000 BDT, Color: Platinum Grey, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3, 8GB RAM, 256GB SSD",Brand New,"Cash Offer: ৳24,000 discount"
আমার ভাইয়ের জন্য ভালো একটা ল্যাপটপ সাজেস্ট করো যেটা দিয়ে ও পড়াশোনা করতে পারবে,"Name: ASUS VivoBook 15, Category: Student Laptop, Price: 52,000 BDT, Color: Silver, Brand: ASUS, Body Type: Plastic, Keyboard: Backlit, Hardware: Ryzen 3, 8GB RAM, 256GB SSD",Pre-Owned,"Cash Offer: ৳18,000 discount"
Best laptop under 60K BDT?,"Name: HP 15s, Category: Budget Laptop, Price: 59,900 BDT, Color: Jet Black, Brand: HP, Body Type: Plastic, Keyboard: Full-size, Hardware: Intel Core i3, 8GB RAM, 512GB SSD",Brand New,"Cash Offer: ৳20,000 discount"
"ami ekta coding er jonno laptop khujtasi, ki nibo?","Name: Dell Inspiron 14, Category: Programming Laptop, Price: 68,000 BDT, Color: Silver, Brand: Dell, Body Type: Aluminum, Keyboard: Backlit, Hardware: Intel Core i5, 16GB RAM, 512GB SSD",Brand New,EMI available (6 months)
ল্যাপটপে SSD আর HDD এর পার্থক্য কী?,"SSD is faster and more reliable, while HDD offers more storage at a lower price. Example SSD model: Lenovo IdeaPad Slim 3 with 512GB SSD. Example HDD model: HP 14s with 1TB HDD.",Brand New,No discount
Does MacBook Air M2 support video editing?,"Name: MacBook Air M2, Category: Lightweight Laptop, Price: 129,000 BDT, Color: Space Gray, Brand: Apple, Body Type: Aluminum, Keyboard: Magic Keyboard, Hardware: Apple M2, 8GB RAM, 256GB SSD",Brand New,"Cash Offer: ৳15,000 discount"
আমি একটা ল্যাপটপ নিতে চাই যেটা দিয়ে Photoshop চালানো যাবে,"Name: Acer Aspire 5, Category: Creative Work Laptop, Price: 75,000 BDT, Color: Charcoal Black, Brand: Acer, Body Type: Plastic, Keyboard: Backlit, Hardware: Intel Core i5, 8GB RAM, 512GB SSD",Brand New,"Cash Offer: ৳10,000 discount"
Which laptop is best for gaming under 1 lakh BDT?,"Name: ASUS TUF Gaming F15, Category: Gaming Laptop, Price: 98,000 BDT, Color: Fortress Gray, Brand: ASUS, Body Type: Metal & Plastic, Keyboard: RGB Backlit, Hardware: Intel Core i5, GTX 1650, 8GB RAM, 512GB SSD",Brand New,Free Gaming Mouse
ki laptop valo hobe freelancer der jonno?,"Name: Lenovo ThinkBook 14, Category: Freelance Laptop, Price: 85,000 BDT, Color: Mineral Gray, Brand: Lenovo, Body Type: Aluminum, Keyboard: Backlit, Hardware: Intel Core i5, 16GB RAM, 512GB SSD",Pre-Owned,Free Laptop Bag
আমি কি ল্যাপটপ কিস্তিতে কিনতে পারবো?,"Yes, installment option available. Example: HP 15s at 59,900 BDT, 6-month EMI with 0% interest for selected credit cards.",Brand New,0% EMI on selected cards
Best laptop brand in Bangladesh?,"Top brands: HP, Dell, Lenovo, ASUS. Example: Dell Inspiron 15 – Budget Category, Price: 62,000 BDT, i3 Processor.",Brand New,Up to 5% Discount
আমি অনলাইনে ল্যাপটপ কিনলে কি ওয়ারেন্টি পাবো?,"Yes, all laptops come with manufacturer warranty. Example: ASUS VivoBook has 2 years official warranty.",Brand New,Free Delivery
Laptop er battery backup kemon dekha uchit?,"At least 6 hours backup is recommended. Example: LG Gram 14, Battery Backup: up to 18 hours, Price: 145,000 BDT.",Brand New,Cashback ৳2000
I need a lightweight laptop for travel,"Name: LG Gram 14, Category: Ultrabook, Price: 145,000 BDT, Color: White, Brand: LG, Body Type: Magnesium Alloy, Keyboard: Backlit, Hardware: Intel Core i5, 16GB RAM, 512GB SSD",Brand New,Student Discount Available
"ভালো ল্যাপটপ চিনি না, beginner use এর জন্য কি নিই?","Name: HP 245 G8, Category: Entry-Level Laptop, Price: 47,500 BDT, Color: Black, Brand: HP, Body Type: Plastic, Keyboard: Standard, Hardware: AMD Ryzen 3, 8GB RAM, 256GB SSD",Brand New,Free Travel Pouch
student der jonno kon laptop best hobe?,"Name: Dell Vostro 14, Category: Student Laptop, Price: 53,000 BDT, Color: Carbon Black, Brand: Dell, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3, 8GB RAM, 512GB SSD",Brand New,Discount ৳1500
What is the return policy for laptops?,Return policy: Within 7 days of delivery for manufacturing defects. Example: ASUS VivoBook S14 – Return eligible with original packaging.,Brand New,Free Mouse Pad
"আমার ল্যাপটপে চার্জ থাকছে না, কী করবো?","Try a different charger, check battery health. If issue persists, example: Dell Service Center available for warranty repair.",Pre-Owned,Battery Replacement Support
Mac vs Windows laptop – kon ta bhalo?,"Depends on use. MacBook Air M2 – 129,000 BDT, great for content creators. Dell XPS 13 – 110,000 BDT, great for developers and general use.",Brand New,0% EMI or ৳4000 Discount
ami chassi metal laptop chai – ki option ache?,"Name: HP Envy x360, Category: Premium Laptop, Price: 110,000 BDT, Color: Silver, Brand: HP, Body Type: Aluminum, Keyboard: Backlit, Hardware: Ryzen 5, 16GB RAM, 512GB SSD",Brand New,Free Backpack
Suggest a Dell laptop with 4GB RAM and 1TB SSD.,"Name: Dell ExpertBook 21, Category: General Use, Price: 143587 BDT, Color: Silver, Brand: Dell, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 4GB RAM, 1TB SSD",Pre-Owned,Student Discount Available
Suggest a ASUS laptop with 12GB RAM and 512GB SSD.,"Name: ASUS ExpertBook 22, Category: General Use, Price: 111470 BDT, Color: Silver, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 12GB RAM, 512GB SSD",Brand New,Free Mouse Pad
Suggest a Acer laptop with 12GB RAM and 1TB SSD.,"Name: Acer ExpertBook 23, Category: General Use, Price: 66153 BDT, Color: Gray, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 12GB RAM, 1TB SSD",Pre-Owned,Up to 5% Discount
Suggest a Apple laptop with 8GB RAM and 256GB SSD.,"Name: Apple ExpertBook 24, Category: General Use, Price: 87437 BDT, Color: White, Brand: Apple, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 8GB RAM, 256GB SSD",Brand New,Student Discount Available
Suggest a MSI laptop with 4GB RAM and 128GB SSD.,"Name: MSI ExpertBook 25, Category: General Use, Price: 129130 BDT, Color: Silver, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 4GB RAM, 128GB SSD",Brand New,Free Delivery
Suggest a HP laptop with 16GB RAM and 128GB SSD.,"Name: HP ExpertBook 26, Category: General Use, Price: 141571 BDT, Color: Gray, Brand: HP, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 16GB RAM, 128GB SSD",Brand New,Student Discount Available
Suggest a LG laptop with 12GB RAM and 128GB SSD.,"Name: LG ExpertBook 27, Category: General Use, Price: 141062 BDT, Color: Silver, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 12GB RAM, 128GB SSD",Pre-Owned,Battery Replacement Support
