Model Name,Brand,Processor,RAM,Storage,Display,Operating System,Color,Body Type,Weight,Warranty,Price (BDT)
HP Pavilion 15,HP,Apple M2,16GB,1TB SSD,"16"" QHD",Windows 11,Black,Plastic,1.75kg,2 Years,240440
HP Pavilion 15,HP,Intel Core i3 11th Gen,8GB,128GB SSD,"15.6"" FHD",Windows 10,Silver,Metal,2.00kg,2 Years,107880
Walton Tamarind EX10,Walton,Apple M1,32GB,512GB SSD,"14"" FHD",Windows 10,Silver,Metal,1.40kg,2 Years,64649
ASUS VivoBook 15,ASUS,Apple M1,4GB,256GB SSD,"17"" FHD",Windows 10,Silver,Plastic,1.25kg,2 Years,183923
HP Victus 15,HP,Apple M2,16GB,512GB SSD,"14"" FHD",Windows 10,Black,Plastic,1.75kg,3 Years,71032
Apple MacBook Air M2,Apple,Intel Core i5 12th Gen,8GB,512GB SSD,"13.3"" FHD",macOS Ventura,Blue,Carbon Fiber,1.75kg,3 Years,177611
Walton Tamarind EX10,Walton,Intel Core i5 12th Gen,16GB,1TB SSD,"16"" QHD",Windows 10,Blue,Plastic,2.00kg,1 Year,59506
HP Pavilion 15,HP,Apple M2,12GB,1TB SSD,"15.6"" FHD",Chrome OS,White,Plastic,1.75kg,3 Years,132372
LG Gram 14,LG,AMD Ryzen 7 5800U,8GB,1TB SSD,"16"" QHD",Chrome OS,White,Magnesium Alloy,2.00kg,2 Years,241197
MSI GF63 Thin,MSI,AMD Ryzen 7 5800U,32GB,1TB SSD,"17"" FHD",Windows 11,White,Metal,1.40kg,1 Year,235177
HP Victus 15,HP,Intel Core i9 13th Gen,4GB,512GB SSD,"16"" QHD",macOS Ventura,Silver,Carbon Fiber,0.99kg,3 Years,184316
Apple MacBook Air M1,Apple,Apple M1,4GB,128GB SSD,"13.3"" FHD",Chrome OS,Silver,Aluminum,2.00kg,3 Years,185336
Apple MacBook Air M1,Apple,Intel Core i9 13th Gen,16GB,1TB SSD,"14"" FHD",Windows 11,Gray,Metal,2.00kg,1 Year,160044
HP Pavilion 15,HP,Intel Core i3 11th Gen,4GB,1TB SSD,"17"" FHD",Windows 10,Gray,Carbon Fiber,1.40kg,3 Years,248048
Walton Prelude N41,Walton,Apple M2,12GB,256GB SSD,"15.6"" FHD",macOS Ventura,Silver,Magnesium Alloy,1.75kg,1 Year,243246
Apple MacBook Pro M2,Apple,AMD Ryzen 5 5500U,16GB,512GB SSD,"15.6"" FHD",Chrome OS,Black,Aluminum,1.25kg,3 Years,188059
Walton Prelude N41,Walton,Intel Core i3 11th Gen,16GB,512GB SSD,"13.3"" FHD",macOS Ventura,Gray,Carbon Fiber,1.25kg,1 Year,126493
Lenovo IdeaPad Slim 3,Lenovo,Intel Core i9 13th Gen,8GB,1TB SSD,"14"" FHD",Chrome OS,Black,Aluminum,1.75kg,3 Years,47289
Dell XPS 13,Dell,Apple M2,16GB,128GB SSD,"13.3"" FHD",Windows 11,Gray,Carbon Fiber,2.00kg,1 Year,87675
Acer Aspire 5,Acer,AMD Ryzen 5 5500U,12GB,256GB SSD,"13.3"" FHD",Windows 11,Gray,Plastic,1.75kg,3 Years,106293
Lenovo IdeaPad Slim 3,Lenovo,AMD Ryzen 5 5500U,8GB,256GB SSD,"15.6"" FHD",Windows 11,White,Magnesium Alloy,0.99kg,2 Years,185704
Lenovo IdeaPad Slim 3,Lenovo,AMD Ryzen 7 5800U,32GB,1TB SSD,"15.6"" FHD",Windows 10,Gray,Carbon Fiber,1.75kg,3 Years,154765
HP Victus 15,HP,Intel Core i3 11th Gen,32GB,128GB SSD,"14"" FHD",Chrome OS,Black,Aluminum,1.75kg,3 Years,226921
MSI GF63 Thin,MSI,Intel Core i7 13th Gen,8GB,512GB SSD,"16"" QHD",Windows 10,Silver,Metal,1.25kg,2 Years,71641
ASUS ROG Zephyrus G14,ASUS,Intel Core i7 13th Gen,12GB,512GB SSD,"14"" FHD",macOS Ventura,Silver,Carbon Fiber,0.99kg,2 Years,65756
HP Victus 15,HP,Intel Core i7 13th Gen,8GB,256GB SSD,"17"" FHD",Windows 11,Black,Magnesium Alloy,2.00kg,2 Years,48688
ASUS ROG Zephyrus G14,ASUS,Apple M2,12GB,256GB SSD,"15.6"" FHD",Chrome OS,Blue,Carbon Fiber,1.25kg,3 Years,203813
HP Victus 15,HP,Apple M2,12GB,1TB SSD,"15.6"" FHD",Windows 11,Silver,Carbon Fiber,1.40kg,1 Year,128533
Apple MacBook Pro M2,Apple,Intel Core i9 13th Gen,32GB,512GB SSD,"15.6"" FHD",Windows 11,Gray,Aluminum,2.00kg,3 Years,97182
HP Pavilion 15,HP,Intel Core i7 13th Gen,4GB,512GB SSD,"17"" FHD",Windows 11,Black,Plastic,0.99kg,1 Year,80654
Lenovo IdeaPad Slim 3,Lenovo,Intel Core i5 12th Gen,12GB,1TB SSD,"17"" FHD",Windows 10,White,Magnesium Alloy,1.25kg,1 Year,112559
ASUS VivoBook 15,ASUS,Apple M1,8GB,128GB SSD,"14"" FHD",Chrome OS,White,Carbon Fiber,1.75kg,3 Years,184657
Lenovo IdeaPad Slim 3,Lenovo,Apple M2,8GB,512GB SSD,"14"" FHD",Windows 10,Blue,Aluminum,1.75kg,1 Year,196847
HP Victus 15,HP,Apple M1,16GB,1TB SSD,"16"" QHD",Windows 11,Silver,Magnesium Alloy,1.40kg,2 Years,175997
LG Gram 14,LG,AMD Ryzen 7 5800U,8GB,1TB SSD,"17"" FHD",Chrome OS,Blue,Metal,2.00kg,2 Years,38110
Acer Aspire 5,Acer,Intel Core i9 13th Gen,4GB,1TB SSD,"13.3"" FHD",Windows 11,White,Aluminum,0.99kg,3 Years,188902
Walton Prelude N41,Walton,AMD Ryzen 5 5500U,12GB,128GB SSD,"15.6"" FHD",Chrome OS,Blue,Aluminum,2.00kg,1 Year,50756
ASUS ROG Zephyrus G14,ASUS,Apple M1,16GB,512GB SSD,"15.6"" FHD",Chrome OS,Blue,Plastic,1.40kg,3 Years,96585
Apple MacBook Air M1,Apple,AMD Ryzen 5 5500U,8GB,512GB SSD,"14"" FHD",Chrome OS,Black,Plastic,0.99kg,1 Year,235295
Apple MacBook Air M2,Apple,Intel Core i3 11th Gen,4GB,256GB SSD,"17"" FHD",Chrome OS,Black,Carbon Fiber,2.00kg,3 Years,176463
Apple MacBook Air M2,Apple,Intel Core i9 13th Gen,12GB,256GB SSD,"17"" FHD",Chrome OS,Silver,Metal,1.25kg,2 Years,118240
Lenovo IdeaPad Slim 3,Lenovo,Intel Core i3 11th Gen,8GB,128GB SSD,"15.6"" FHD",Chrome OS,Gray,Aluminum,1.25kg,1 Year,100761
HP Pavilion 15,HP,AMD Ryzen 5 5500U,32GB,256GB SSD,"13.3"" FHD",macOS Ventura,Gray,Aluminum,1.40kg,1 Year,140512
HP Pavilion 15,HP,Intel Core i9 13th Gen,8GB,256GB SSD,"17"" FHD",macOS Ventura,Blue,Metal,1.75kg,2 Years,138632
Lenovo IdeaPad Slim 3,Lenovo,AMD Ryzen 7 5800U,4GB,256GB SSD,"15.6"" FHD",Windows 10,Blue,Carbon Fiber,1.75kg,3 Years,108233
Walton Tamarind EX10,Walton,Intel Core i3 11th Gen,4GB,512GB SSD,"17"" FHD",Windows 11,White,Metal,1.40kg,3 Years,77833
ASUS ROG Zephyrus G14,ASUS,Intel Core i5 12th Gen,12GB,512GB SSD,"17"" FHD",Windows 10,Gray,Magnesium Alloy,1.75kg,2 Years,203465
HP Victus 15,HP,Intel Core i5 12th Gen,32GB,512GB SSD,"14"" FHD",Chrome OS,Silver,Plastic,1.25kg,3 Years,210953
Apple MacBook Pro M2,Apple,Apple M1,4GB,256GB SSD,"15.6"" FHD",Windows 11,Black,Plastic,1.40kg,2 Years,69677
HP Pavilion 15,HP,Apple M1,12GB,256GB SSD,"14"" FHD",Chrome OS,Silver,Magnesium Alloy,0.99kg,3 Years,78354
Walton Prelude N41,Walton,Intel Core i5 12th Gen,4GB,1TB SSD,"17"" FHD",macOS Ventura,White,Magnesium Alloy,1.40kg,1 Year,115752
Dell Inspiron 14,Dell,AMD Ryzen 5 5500U,32GB,128GB SSD,"16"" QHD",Chrome OS,Silver,Plastic,2.00kg,2 Years,231246
Acer Aspire 5,Acer,Intel Core i3 11th Gen,8GB,128GB SSD,"15.6"" FHD",Windows 11,Silver,Aluminum,1.75kg,1 Year,55447
Lenovo IdeaPad Slim 3,Lenovo,Apple M2,12GB,1TB SSD,"13.3"" FHD",Windows 11,Blue,Magnesium Alloy,1.40kg,1 Year,96163
Dell XPS 13,Dell,Apple M2,4GB,1TB SSD,"17"" FHD",Chrome OS,Black,Plastic,1.40kg,3 Years,178044
Walton Tamarind EX10,Walton,Intel Core i3 11th Gen,4GB,512GB SSD,"14"" FHD",Windows 11,Gray,Carbon Fiber,2.00kg,3 Years,121076
Apple MacBook Air M2,Apple,Intel Core i7 13th Gen,8GB,512GB SSD,"16"" QHD",Chrome OS,Blue,Metal,1.40kg,3 Years,60594
Apple MacBook Air M1,Apple,Intel Core i7 13th Gen,12GB,128GB SSD,"16"" QHD",Windows 10,Blue,Magnesium Alloy,2.00kg,3 Years,162105
HP Pavilion 15,HP,AMD Ryzen 5 5500U,12GB,512GB SSD,"15.6"" FHD",macOS Ventura,Silver,Aluminum,1.75kg,3 Years,216229
ASUS VivoBook 15,ASUS,Apple M2,8GB,512GB SSD,"17"" FHD",Windows 10,Blue,Carbon Fiber,2.00kg,1 Year,99448
Dell XPS 13,Dell,Intel Core i7 13th Gen,16GB,256GB SSD,"16"" QHD",Windows 10,Black,Magnesium Alloy,1.75kg,2 Years,152924
